SR,PLANT,TYPE,SEASON,HEALTH,FERTILIZER,WATERTDAY,STREAK,SUNLIGHT,NOTES,,BEST,SCORE
1,rose,indoor,summer,fine,yes,yes,36,medium high,the plant is good,,107,96.66666667
2,sunflower,indoor,winter,good,yes,yes,45,high,the plant is good,, ,
3,jasmine,indoor,autum,good,yes,yes,27,low,the plant is good,,,
4,tulip,indoor,spring,good,yes,yes,75,meidum,the plant is good,,,
5,dasiy,indoor,summer,good,yes,yes,24,medium high,the plant is good,,,
6,onion,outdoor,summer,good,yes,yes,9,high,the plant is good,,,
7,spinach,outdoor,winter,fine,yes,yes,65,low,the plant is good,,,
8,rice,outdoor,spring,fine,yes,yes,54,medium  ,the plant is good,,,
9,wheat,outdoor,autum,fine,yes,yes,107,medium high,the plant is good,,,
10,rew,indoor,spring,bad,yes,yes,97,low,the plant is good,,,
11,cotton,outdoor,winter,bad,yes,yes,0,medium high,the plant is good,,,
13,ROSE,indoor,autum,good,yes,yes,90,medium high,the plant is good,,,
14,rose,indoor,autum,yes,yes,yes,100,low,nothing,,,
15,ROSE,indoor,summer,good,yes,yes,13,high,THE PLANT IS DOING GOOD,,,
16,Flower Plant ,indoor,summer,fine,no,yes,34,medium,This plant is on kictchen shelf,,,
